num_col,flux,volume,modele,ss_quart,commune,coord_x,coord_y,adresse,filling_level,hour_filling
VRS_0002,Verre,3,Aérien,Port Marianne,MONTPELLIER,774768.3635,6278459.9999,2235 RTE DE VAUGUIERES,,
BD_0260,Biodéchets,"0,24",Abri_bac,Port Marianne,MONTPELLIER,772526.8091,6278638.9549,6 rue Messidor,,
TSe_0121,Tri sélectif,5,Enterré,Sans objet hors Montpellier,MURVIEL-LES-MONTPELLIER,760081.5309,6278663.78,0 NR NR,,
V_0102,Verre,3,Aérien,Sans objet hors Montpellier,FABREGUES,762551.1569,6272272.6455,24 R DES CIGALES,,
TS_0200,Tri sélectif,3,Aérien,Sans objet hors Montpellier,VILLENEUVE-LES-MAGUELONE,769902.8553,6271101.5603,5087 CHE DE L HOPITAL,,
OMe_0008,Ordures ménagères,3,Enterré,Comédie,MONTPELLIER,770921.04,6279469.9086,2 PL PETRARQUE,,
TS_0097,Tri sélectif,3,Aérien,Les Arceaux,MONTPELLIER,769623.3323,6279586.9072,50 BD DES ARCEAUX,,
V_0828,Verre,3,Aérien,Sans objet hors Montpellier,SAINT-BRES,783840.3434,6285903.1916,52 R DE LA PEPINIERE,51.66666667,20260213132003
TS_0060,Tri sélectif,3,Aérien,Aiguelongue,MONTPELLIER,770364.547,6281444.8929,89 ALL DE BON ACCUEIL,,
TSe_0099,Tri sélectif,5,Enterré,Sans objet hors Montpellier,JUVIGNAC,764398.4567,6280130.5584,5768 COURPOUYRAN,,
BD_0342,Biodéchets,0.24,Abri_bac,Aiguelongue,MONTPELLIER,,,135 Rue du Mas de Calenda,,
TSe_9046,Tri sélectif,4,Enterré,Croix d'Argent,MONTPELLIER,769303.3487,6276250.9707,94 AV DES DRAGEES,,
TSe_9050,Tri sélectif,4,Enterré,Sans objet hors Montpellier,JUVIGNAC,765362.7466,6281230.1525,5025 FONTCAUDE,,
TS_0962,Tri sélectif,4,Aérien,Centre Historique,MONTPELLIER,,,,,
TS_0460,Tri sélectif,3,Aérien,Prés d'Arènes,MONTPELLIER,771559.3239,6276306.5457,152 R DE MONTELS EGLISE,,
BD_0294,Biodéchets,"0,24",Abri_bac,Les Beaux-Arts,MONTPELLIER,,,13 Rue de Nazareth,,
V_0903,Verre,3,Aérien,Sans objet hors Montpellier,VENDARGUES,778327.8893,6285233.5404,2 R ALPHONSE DAUDET,,
V_0912,Verre,3,Aérien,Aiguerelles,MONTPELLIER,771777.5062,6277713.2104,132 AV DE PALAVAS,,
BD_0378,Biodéchets,0.24,Abri_bac,Sans objet - Hors Montpellier,LATTES,,,1 Plan Jean Baptiste Lulli,,
